comment_text,toxic,flores_200_lang
"What is you Problem Are You a Disabled Human or ???
Please What is your Problem? You do not no anything About the British Rapper NOT Yankee Rapper Tinchy Stryder! if you have a problem with my Article why don't you take it to the the Article Tinchy Stryder Discussion page instead of just coming to try and piss me off. What has made you come to the Article of Tinchy Stryder? as I Know you have no interest nor Knowledge of this rapper so why? Please for the love of Mankind and Planet Earth leave my Articles Alone! You ABOMINATION OF A WIKIPEDIA EDITER & ADMINISTRATOR!!!, Amen. Markmysoe (Talk).",1,eng_Latn
"""

Personal attacks?

Regarding your last post to me, practice what you preach. How is it OK for you to tell everyone I'm """"ranting"""", and have """"groupies""""?

STOP HARRASSING ME.

LEAVE ME ALONE!! """,1,eng_Latn
reverthis sucks ballls ted,1,eng_Latn
I will be in contact with IRS and fUCK WIKI over ... FUCK YOU,1,eng_Latn
"::why'd you ping me, you dick?  ",1,eng_Latn
"""You know, I was thinking...

Nobody really attacked me before I revealed my age here.  After I announced that I was 14, I was subject to a constant storm of harassment and abuse.

The same thing goes for when I was on The Sandbox when I was 11.  Before people knew my age, they didn't care.  After I told them my age, they hated me.

It's just so amusing how the idiot Soapboxers think of teenagers as being responsible for the """"decline"""" of The Soapbox (like it was ever any good to begin with).  This is funny, because the adults are the dumbest people here.  Mauricio, Chuppah, Redneckgirl, Pinky, Scooby, GG, ForeverLostTinkerbell, greenrabbit, StarRocketsInFlight, Bree-Robinson, enigma-72, CocaineNightmares, TokyoDome, Chad_Ocho-Cinco, Steve Lake...

...all adults.

The teenage posters here are typically the smartest ones.  Let's see... G-Dawg, Head_Banging_Brunette, ClassicAge, Metropolis (even though he's a bipolar weirdo), ChrisScript, just to name a few.

All I ever see adults posting is """"rate my poo!!1!"""", """"my ballz smell funny"""", """"whoz hawter: me or ur mom???//?/?"""", """"i like to rape little girls"""", and """"HEY GUYZ LOOK AT ME IM AN ATTENTION WHORE!!!!11!!1!""""  The adult posters here are immature, moronic, savage bullies with the mental capacity of a retarded 4-year-old.

Whereas, most of the teenagers here are thoughtful, intelligent, mature, and often profound.  But they're subject to constant schoolyard bullying by the idiot adult posters who think they're somehow superior because they were born (and dropped on their head) earlier.

Soapbox logic never fails to amuse me...
""",1,eng_Latn
""" 

 ==Reports== 
 Okay, I did not report you only the anon guy. Also, you did call me flat out """"stupid."""" I never made any reference to your person. Give me one example where I said you were stupid or that Italians are stupid. I did inslut you nor did I insult Italians. I just don't beleive that Italy is a Great Power. We have to agree to disagree. Things however got out of hand and actions neeeded to be taken. Regards,  """,1,eng_Latn
Amen my sock-pupinski brother!! Hack-a-long: please leave my links and quit being a mini-dictator! ThANKS!,1,eng_Latn
""" 

 {| style=""""background-color: #fdffe7; border: 1px solid #fceb92;"""" 
 |rowspan=""""2"""" style=""""vertical-align: middle; padding: 5px;"""" |  

 == A BARNSTAR UP YOUR ASS == 

 == REASONS == 

 VANDALISM.(PROMOTION) 
 PROMOTING PRESONAL AGENDA.(NATIONALIST,RACIST,INDIAN) 
 DISCREDITING WIKIPEDIA. 
 SHORT SIGHTED EDITING. 
 MISUSE OF EDITORIAL RIGHTS. 
 THEATENING TO BLOCK OTHER USERS. 

 IF YOU DONT STOP AND CONTINUE WITH THIS UNACCEPTEBLE RUDE BEHAVIOUR AGAINST US PAKISTANIS ,WE WILL  SCREW AND BLOCK YOUR ASS SO BAD THAT NEXT TIME WHEN YOU BLOCK US OR BLOCK A CERTAIN ARTICLE OF OUR INTEREST YOU WILL BE POOPING THROUGH YOUR MOUTH.""",1,eng_Latn
"AGAIN
Every edit I did to the Jackie chan movies of the U.S Versions of how many minutes were cut are correct and you cocksuckers revert back to the original versions, you better back off or I will sue you.",1,eng_Latn
